MOTIVOVIAJE,HORA_INICIO,HORA_FIN,LATITUD_ORIGEN,LATITUD_DESTINO,LONGITUD_ORIGEN,LONGITUD_DESTINO,DIFERENCIA_HORAS,DIA_HABIL
Asuntos de Trabajo,17:48:00,18:21:00,4.61634,4.63389,-74.17084,-74.07574,00:33:00,1
Volver a casa,22:30:00,23:17:00,4.63389,4.61634,-74.07574,-74.17084,00:47:00,1
Trabajar,07:00:00,09:00:00,4.58677,4.74682,-74.07927,-74.09617,02:00:00,0
Volver a casa,17:30:00,18:40:00,4.74682,4.64113,-74.09617,-74.16209,01:10:00,0
Trabajar,08:20:00,09:30:00,4.62274,4.75203,-74.14933,-74.04790,01:10:00,0
Volver a casa,17:42:30,18:52:40,4.75203,4.62274,-74.04790,-74.14933,01:10:10,0
Estudiar,07:10:00,08:30:00,4.64404,4.64892,-74.16586,-74.08150,01:20:00,0
Volver a casa,14:10:00,15:30:00,4.64892,4.64404,-74.08150,-74.16586,01:20:00,0
Estudiar,10:19:00,11:05:00,4.64404,4.64379,-74.16586,-74.06206,00:46:00,0
Volver a casa,14:36:00,15:36:00,4.64379,4.64404,-74.06206,-74.16586,01:00:00,0
Estudiar,10:19:00,11:05:00,4.64404,4.64878,-74.16586,-74.07944,00:46:00,0
Volver a casa,14:36:00,15:36:00,4.64878,4.64404,-74.07944,-74.16586,01:00:00,0
Estudiar,07:00:00,09:00:00,4.61418,4.60963,-74.18521,-74.07139,02:00:00,0
Volver a casa,09:26:00,11:16:00,4.60963,4.61418,-74.07139,-74.18521,01:50:00,0
Trabajar,08:00:00,09:40:00,4.62274,4.70030,-74.14933,-74.09666,01:40:00,0
Volver a casa,19:00:00,20:00:00,4.70030,4.62274,-74.09666,-74.14933,01:00:00,0
Trabajar,08:00:00,08:50:00,4.62274,4.66454,-74.14933,-74.05826,00:50:00,0
Volver a casa,19:00:00,20:30:00,4.66454,4.62274,-74.05826,-74.14933,01:30:00,0
Trabajar,08:00:00,08:50:00,4.62274,4.66591,-74.14933,-74.05870,00:50:00,0
Volver a casa,19:00:00,20:30:00,4.66591,4.62274,-74.05870,-74.14933,01:30:00,0
Trabajar,08:00:00,09:00:00,4.62998,4.70324,-74.15541,-74.03253,01:00:00,0
Volver a casa,17:30:00,18:13:00,4.70324,4.62998,-74.03253,-74.15541,00:43:00,0
Trabajar,07:30:00,08:50:00,4.62588,4.64015,-74.16616,-74.06556,01:20:00,0
Volver a casa,19:00:00,20:00:00,4.64015,4.62562,-74.06556,-74.16684,01:00:00,0
Trabajar,07:30:00,08:50:00,4.62673,4.64322,-74.16796,-74.06496,01:20:00,0
Volver a casa,10:19:13,11:27:46,4.64322,4.62562,-74.06496,-74.16684,01:08:33,0
Trabajar,06:00:00,07:54:00,4.60087,4.60820,-74.18144,-74.07076,01:54:00,0
Volver a casa,13:16:00,14:53:00,4.60820,4.60087,-74.07076,-74.18144,01:37:00,0
Compras,19:56:00,20:39:00,4.62200,4.67837,-74.14341,-74.07411,00:43:00,0
Volver a casa,21:17:44,21:47:44,4.67837,4.62200,-74.07411,-74.14341,00:30:00,0
Volver a casa,16:30:00,18:27:00,4.60460,4.62200,-74.07708,-74.14341,01:57:00,0
Trabajar,06:00:00,07:00:00,4.59658,4.59659,-74.08758,-74.08760,01:00:00,0
Volver a casa,14:00:00,16:00:00,4.59659,4.61709,-74.08760,-74.17358,02:00:00,0
Estudiar,09:00:00,09:40:00,4.61732,4.63583,-74.17467,-74.06524,00:40:00,0
Volver a casa,19:00:00,20:36:00,4.63583,4.61732,-74.06524,-74.17467,01:36:00,0
Otra cosa,08:30:00,11:00:00,4.63692,4.60460,-74.19438,-74.07708,02:30:00,0
Volver a casa,12:31:00,13:21:00,4.60460,4.63402,-74.07708,-74.19342,00:50:00,0
Ir a ver a alguien,08:30:00,11:00:00,4.63692,4.53349,-74.19438,-74.10934,02:30:00,0
Volver a casa,11:21:00,13:11:00,4.53349,4.63402,-74.10934,-74.19342,01:50:00,0
Trabajar,07:00:00,07:40:00,4.62798,4.60610,-74.15348,-74.08070,00:40:00,0
Volver a casa,18:00:00,19:19:00,4.60610,4.62522,-74.08070,-74.14663,01:19:00,0
Tramites,12:09:00,13:10:00,4.62522,4.63032,-74.14663,-74.06046,01:01:00,0
Volver a casa,18:20:00,18:49:00,4.63032,4.62522,-74.06046,-74.14663,00:29:00,0
Compras,12:09:00,13:09:00,4.62798,4.71432,-74.15348,-74.10948,01:00:00,0
Trabajar,05:38:00,07:39:00,4.63669,4.63240,-74.19482,-74.12727,02:01:00,0
Volver a casa,12:37:39,13:17:40,4.63240,4.63669,-74.12727,-74.19482,00:40:01,0
Estudiar,07:15:00,09:00:00,4.62229,4.63682,-74.18809,-74.09216,01:45:00,0
Volver a casa,10:46:00,12:31:45,4.63682,4.63669,-74.09216,-74.19482,01:45:45,0
Trabajar,05:38:00,07:39:00,4.60246,4.61461,-74.13687,-74.13148,02:01:00,0
Volver a casa,12:37:39,13:17:40,4.61461,4.63669,-74.13148,-74.19482,00:40:01,0
Estudiar,07:15:00,09:00:00,4.60246,4.63811,-74.13687,-74.07794,01:45:00,0
Volver a casa,10:46:00,12:31:45,4.63811,4.63669,-74.07794,-74.19482,01:45:45,0
Estudiar,06:14:00,07:30:00,4.64268,4.65570,-74.13526,-74.06110,01:16:00,1
Volver a casa,17:52:00,19:22:00,4.65570,4.64268,-74.06110,-74.13526,01:30:00,1
Trabajar,07:00:00,08:00:00,4.73148,4.63583,-74.10190,-74.06524,01:00:00,1
Volver a casa,17:00:00,18:00:00,4.63583,4.73169,-74.06524,-74.09867,01:00:00,1
Volver a casa,14:50:00,15:33:00,4.68261,4.73169,-74.06625,-74.09902,00:43:00,1
Otra cosa,05:39:00,06:29:00,4.73555,4.60914,-74.10191,-74.06592,00:50:00,1
Volver a casa,07:22:39,09:06:39,4.60914,4.73555,-74.06592,-74.10191,01:44:00,1
Compras,12:09:00,13:09:00,4.60169,4.71432,-74.17893,-74.10948,01:00:00,0
Compras,12:09:00,13:09:00,4.60169,4.71432,-74.17893,-74.10948,01:00:00,0
Compras,12:09:00,13:09:00,4.60169,4.71432,-74.17893,-74.10948,01:00:00,0
Volver a casa,16:00:00,17:34:00,4.60460,4.60169,-74.07708,-74.17893,01:34:00,0
Compras,12:09:00,13:09:00,4.62798,4.71432,-74.15348,-74.10948,01:00:00,0
Compras,12:09:00,13:09:00,4.62510,4.71432,-74.14675,-74.10948,01:00:00,0
Compras,12:09:00,13:09:00,4.62510,4.71432,-74.14675,-74.10948,01:00:00,0
Volver a casa,16:00:00,16:30:00,4.60460,4.62510,-74.07708,-74.14675,00:30:00,0
Trabajar,07:00:00,08:00:00,4.73049,4.63314,-74.10042,-74.06619,01:00:00,1
Volver a casa,17:00:00,18:00:00,4.63314,4.73015,-74.06619,-74.09922,01:00:00,1
Trabajar,05:55:00,06:55:00,4.73030,4.62673,-74.09959,-74.06732,01:00:00,1
Volver a casa,17:25:00,18:26:00,4.62673,4.73015,-74.06732,-74.09922,01:01:00,1
Trabajar,07:42:00,08:43:00,4.73161,4.62961,-74.09871,-74.08068,01:01:00,1
Volver a casa,10:10:53,11:17:31,4.62961,4.73173,-74.08068,-74.09900,01:06:38,1
Trabajar,07:21:00,08:21:00,4.73148,4.67042,-74.10190,-74.05241,01:00:00,1
Volver a casa,15:29:00,18:29:00,4.67042,4.73173,-74.05241,-74.09900,03:00:00,1
Estudiar,14:12:00,15:57:00,4.73179,4.60073,-74.09898,-74.07031,01:45:00,1
Volver a casa,18:37:31,19:32:51,4.60073,4.73179,-74.07031,-74.09898,00:55:20,1
Trabajar,07:21:00,08:21:00,4.73121,4.67015,-74.09922,-74.05524,01:00:00,1
Volver a casa,15:29:00,18:29:00,4.67015,4.73121,-74.05524,-74.09922,03:00:00,1
Trabajar,05:30:00,08:00:00,4.74440,4.60165,-74.10799,-74.08831,02:30:00,1
Volver a casa,17:32:00,19:20:00,4.60165,4.74440,-74.08831,-74.10799,01:48:00,1
Trabajar,05:06:00,08:00:00,4.74586,4.60206,-74.11037,-74.08105,02:54:00,1
Volver a casa,17:00:00,20:00:00,4.60206,4.74586,-74.08105,-74.11037,03:00:00,1
Recibir atencion en salud,10:00:00,12:00:00,4.59378,4.64942,-74.10398,-74.06292,02:00:00,1
Volver a casa,13:46:00,15:41:00,4.64942,4.59372,-74.06292,-74.10406,01:55:00,1
Estudiar,17:15:00,18:15:00,4.57616,4.63987,-74.10321,-74.06867,01:00:00,1
Volver a casa,19:31:15,20:51:15,4.63987,4.57616,-74.06867,-74.10321,01:20:00,1
Asuntos de Trabajo,15:14:00,16:35:00,4.49251,4.60836,-74.11307,-74.07173,01:21:00,1
Volver a casa,19:45:00,21:15:00,4.60836,4.49502,-74.07173,-74.11609,01:30:00,1
Volver a casa,12:50:00,13:50:00,4.70363,4.63886,-74.03274,-74.14327,01:00:00,1
Otra cosa,06:51:00,08:06:00,4.63887,4.60487,-74.14301,-74.08457,01:15:00,1
Volver a casa,10:51:00,12:06:00,4.60487,4.63887,-74.08457,-74.14301,01:15:00,1
Trabajar,09:13:00,10:13:00,4.63874,4.67136,-74.14308,-74.10677,01:00:00,1
Volver a casa,19:43:00,20:43:00,4.67136,4.63874,-74.10677,-74.14308,01:00:00,1
Estudiar,05:19:00,06:19:00,4.63874,4.66838,-74.14308,-74.10385,01:00:00,1
Volver a casa,14:14:00,15:14:00,4.66838,4.63874,-74.10385,-74.14308,01:00:00,1
Estudiar,06:45:00,07:23:00,4.63874,4.65925,-74.14308,-74.05356,00:38:00,1
Volver a casa,15:18:00,15:56:00,4.65925,4.63874,-74.05356,-74.14308,00:38:00,1
Tramites,11:00:00,12:50:00,4.72994,4.59682,-74.09967,-74.07490,01:50:00,1
Volver a casa,14:00:00,15:45:00,4.59682,4.73028,-74.07490,-74.09953,01:45:00,1
Trabajar,05:14:00,06:14:00,4.73190,4.63859,-74.09853,-74.09375,01:00:00,1
Volver a casa,18:18:00,19:19:00,4.63859,4.73202,-74.09375,-74.09883,01:01:00,1
Tramites,11:00:00,12:30:00,4.73167,4.73785,-74.09902,-74.08487,01:30:00,1
Volver a casa,15:44:00,16:10:00,4.73785,4.73167,-74.08487,-74.09902,00:26:00,1
Trabajar,06:02:00,07:30:00,4.73167,4.69525,-74.09902,-74.05058,01:28:00,1
Volver a casa,19:01:00,21:00:00,4.69525,4.73167,-74.05058,-74.09902,01:59:00,1
Volver a casa,16:43:00,19:02:00,4.65120,4.73141,-74.07266,-74.09913,02:19:00,1
Recibir atencion en salud,07:30:00,09:00:00,4.62696,4.66516,-74.19737,-74.07810,01:30:00,1
Volver a casa,10:46:00,12:28:00,4.66516,4.62696,-74.07810,-74.19737,01:42:00,1
Trabajar,09:15:00,10:54:00,4.62807,4.67438,-74.19605,-74.08779,01:39:00,1
Volver a casa,20:52:35,21:57:58,4.67438,4.62741,-74.08779,-74.19633,01:05:23,1
Trabajar,05:29:00,06:20:00,4.62613,4.61432,-74.19659,-74.08351,00:51:00,1
Volver a casa,13:51:20,14:31:11,4.61432,4.62685,-74.08351,-74.19728,00:39:51,1
Volver a casa,18:31:00,20:16:00,4.67847,4.63436,-74.04837,-74.17699,01:45:00,1
Trabajar,14:00:00,14:58:00,4.62299,4.63744,-74.19933,-74.15969,00:58:00,1
Volver a casa,21:07:39,21:47:39,4.63744,4.62299,-74.15969,-74.19933,00:40:00,1
Volver a casa,17:25:00,18:49:00,4.57461,4.58177,-74.12625,-74.13703,01:24:00,1
Trabajar,04:25:00,05:26:00,4.62290,4.65604,-74.18860,-74.05468,01:01:00,1
Volver a casa,14:31:00,16:32:00,4.65604,4.62290,-74.05468,-74.18860,02:01:00,1
Trabajar,06:07:00,07:08:00,4.63502,4.70560,-74.14405,-74.04257,01:01:00,1
Volver a casa,16:38:00,17:39:00,4.70560,4.63502,-74.04257,-74.14405,01:01:00,1
Estudiar,06:14:00,07:20:00,4.63502,4.63811,-74.14405,-74.07794,01:06:00,1
Volver a casa,15:15:00,16:21:00,4.63811,4.63502,-74.07794,-74.14405,01:06:00,1
Estudiar,07:00:00,08:00:00,4.67479,4.64600,-74.15009,-74.09829,01:00:00,1
Volver a casa,09:36:00,10:56:00,4.64600,4.67479,-74.09829,-74.15009,01:20:00,1
Trabajar,15:00:00,17:30:00,4.63260,4.71098,-74.19645,-74.11426,02:30:00,0
Volver a casa,19:45:00,21:45:00,4.71098,4.63260,-74.11426,-74.19645,02:00:00,0
Trabajar,05:06:00,08:00:00,4.74666,4.73357,-74.12157,-74.26437,02:54:00,1
Volver a casa,17:00:00,20:00:00,4.73357,4.74666,-74.26437,-74.12157,03:00:00,1
Trabajar,05:18:00,07:19:00,4.63087,4.65012,-74.18024,-74.14691,02:01:00,0
Volver a casa,13:21:19,15:01:20,4.65012,4.63087,-74.14691,-74.18024,01:40:01,0
Trabajar,05:38:00,07:39:00,4.63087,4.68841,-74.18024,-74.07339,02:01:00,0
Volver a casa,12:37:39,14:17:39,4.68841,4.63087,-74.07339,-74.18024,01:40:00,0
Trabajar,05:45:00,07:36:00,4.63445,4.75203,-74.19269,-74.04790,01:51:00,0
