motivo viaje,hora inicio,latitud origen,latitud destino,longitud origen,longitud destino,duracion viaje,dia habil,troncal origen,troncal destino
Asuntos de Trabajo,17:48:00,4.61634,4.63389,-74.17084,-74.07574,00:33:00,1,G,A
Volver a casa,22:30:00,4.63389,4.61634,-74.07574,-74.17084,00:47:00,1,A,G
Trabajar,07:00:00,4.58677,4.74682,-74.07927,-74.09617,02:00:00,0,L,C
Volver a casa,17:30:00,4.74682,4.64113,-74.09617,-74.16209,01:10:00,0,C,F
Trabajar,08:20:00,4.62274,4.75203,-74.14933,-74.0479,01:10:00,0,F,B
Volver a casa,17:42:30,4.75203,4.62274,-74.0479,-74.14933,01:10:10,0,B,F
Estudiar,07:10:00,4.64404,4.6489199999999995,-74.16586,-74.0815,01:20:00,0,F,E
Volver a casa,14:10:00,4.6489199999999995,4.64404,-74.0815,-74.16586,01:20:00,0,E,F
Estudiar,10:19:00,4.64404,4.64379,-74.16586,-74.06206,00:46:00,0,F,A
Volver a casa,14:36:00,4.64379,4.64404,-74.06206,-74.16586,01:00:00,0,A,F
Estudiar,10:19:00,4.64404,4.64878,-74.16586,-74.07944,00:46:00,0,F,E
Volver a casa,14:36:00,4.64878,4.64404,-74.07944,-74.16586,01:00:00,0,E,F
Estudiar,07:00:00,4.61418,4.60963,-74.18521,-74.07139000000001,02:00:00,0,G,J
Volver a casa,09:26:00,4.60963,4.61418,-74.07139000000001,-74.18521,01:50:00,0,J,G
Trabajar,08:00:00,4.62274,4.7003,-74.14933,-74.09666,01:40:00,0,F,D
Volver a casa,19:00:00,4.7003,4.62274,-74.09666,-74.14933,01:00:00,0,D,F
Trabajar,08:00:00,4.62274,4.664540000000001,-74.14933,-74.05826,00:50:00,0,F,E
Volver a casa,19:00:00,4.664540000000001,4.62274,-74.05826,-74.14933,01:30:00,0,E,F
Trabajar,08:00:00,4.62274,4.66591,-74.14933,-74.0587,00:50:00,0,F,E
Volver a casa,19:00:00,4.66591,4.62274,-74.0587,-74.14933,01:30:00,0,E,F
Trabajar,08:00:00,4.629980000000001,4.70324,-74.15541,-74.03253000000001,01:00:00,0,F,B
Volver a casa,17:30:00,4.70324,4.629980000000001,-74.03253000000001,-74.15541,00:43:00,0,B,F
Trabajar,07:30:00,4.62588,4.64015,-74.16615999999999,-74.06555999999999,01:20:00,0,G,A
Volver a casa,19:00:00,4.64015,4.62562,-74.06555999999999,-74.16684000000001,01:00:00,0,A,G
Trabajar,07:30:00,4.62673,4.6432199999999995,-74.16796,-74.06496,01:20:00,0,G,A
Volver a casa,10:19:13,4.6432199999999995,4.62562,-74.06496,-74.16684000000001,01:08:33,0,A,G
Trabajar,06:00:00,4.60087,4.6082,-74.18144000000001,-74.07075999999999,01:54:00,0,G,J
Volver a casa,13:16:00,4.6082,4.60087,-74.07075999999999,-74.18144000000001,01:37:00,0,J,G
Compras,19:56:00,4.622,4.67837,-74.14341,-74.07411,00:43:00,0,F,D
Volver a casa,21:17:44,4.67837,4.622,-74.07411,-74.14341,00:30:00,0,D,F
Volver a casa,16:30:00,4.6046,4.622,-74.07708000000001,-74.14341,01:57:00,0,J,F
Trabajar,06:00:00,4.59658,4.59659,-74.08758,-74.0876,01:00:00,0,L,L
Volver a casa,14:00:00,4.59659,4.61709,-74.0876,-74.17358,02:00:00,0,L,G
Estudiar,09:00:00,4.617319999999999,4.63583,-74.17466999999999,-74.06524,00:40:00,0,G,A
Volver a casa,19:00:00,4.63583,4.617319999999999,-74.06524,-74.17466999999999,01:36:00,0,A,G
Otra cosa,08:30:00,4.63692,4.6046,-74.19438000000001,-74.07708000000001,02:30:00,0,G,J
Volver a casa,12:31:00,4.6046,4.63402,-74.07708000000001,-74.19341999999999,00:50:00,0,J,G
Ir a ver a alguien,08:30:00,4.63692,4.5334900000000005,-74.19438000000001,-74.10934,02:30:00,0,G,H
Volver a casa,11:21:00,4.5334900000000005,4.63402,-74.10934,-74.19341999999999,01:50:00,0,H,G
Trabajar,07:00:00,4.62798,4.6061,-74.15348,-74.0807,00:40:00,0,F,J
Volver a casa,18:00:00,4.6061,4.62522,-74.0807,-74.14663,01:19:00,0,J,F
Tramites,12:09:00,4.62522,4.630319999999999,-74.14663,-74.06045999999999,01:01:00,0,F,A
Volver a casa,18:20:00,4.630319999999999,4.62522,-74.06045999999999,-74.14663,00:29:00,0,A,F
Compras,12:09:00,4.62798,4.71432,-74.15348,-74.10948,01:00:00,0,F,C
Trabajar,05:38:00,4.63669,4.6324,-74.19481999999999,-74.12727,02:01:00,0,G,F
Volver a casa,12:37:39,4.6324,4.63669,-74.12727,-74.19481999999999,00:40:01,0,F,G
Estudiar,07:15:00,4.6222900000000005,4.636819999999999,-74.18809,-74.09215999999999,01:45:00,0,G,K
Volver a casa,10:46:00,4.636819999999999,4.63669,-74.09215999999999,-74.19481999999999,01:45:45,0,K,G
Trabajar,05:38:00,4.60246,4.61461,-74.13687,-74.13148000000001,02:01:00,0,G,F
Volver a casa,12:37:39,4.61461,4.63669,-74.13148000000001,-74.19481999999999,00:40:01,0,F,G
Estudiar,07:15:00,4.60246,4.63811,-74.13687,-74.07794,01:45:00,0,G,E
Volver a casa,10:46:00,4.63811,4.63669,-74.07794,-74.19481999999999,01:45:45,0,E,G
Estudiar,06:14:00,4.64268,4.6557,-74.13526,-74.0611,01:16:00,1,F,E
Volver a casa,17:52:00,4.6557,4.64268,-74.0611,-74.13526,01:30:00,1,E,F
Trabajar,07:00:00,4.73148,4.63583,-74.1019,-74.06524,01:00:00,1,C,A
Volver a casa,17:00:00,4.63583,4.73169,-74.06524,-74.09867,01:00:00,1,A,C
Volver a casa,14:50:00,4.6826099999999995,4.73169,-74.06625,-74.09902,00:43:00,1,D,C
Otra cosa,05:39:00,4.73555,4.60914,-74.10191,-74.06591999999999,00:50:00,1,C,J
Volver a casa,07:22:39,4.60914,4.73555,-74.06591999999999,-74.10191,01:44:00,1,J,C
Compras,12:09:00,4.6016900000000005,4.71432,-74.17893000000001,-74.10948,01:00:00,0,G,C
Compras,12:09:00,4.6016900000000005,4.71432,-74.17893000000001,-74.10948,01:00:00,0,G,C
Compras,12:09:00,4.6016900000000005,4.71432,-74.17893000000001,-74.10948,01:00:00,0,G,C
Volver a casa,16:00:00,4.6046,4.6016900000000005,-74.07708000000001,-74.17893000000001,01:34:00,0,J,G
Compras,12:09:00,4.62798,4.71432,-74.15348,-74.10948,01:00:00,0,F,C
Compras,12:09:00,4.6251,4.71432,-74.14675,-74.10948,01:00:00,0,F,C
Compras,12:09:00,4.6251,4.71432,-74.14675,-74.10948,01:00:00,0,F,C
Volver a casa,16:00:00,4.6046,4.6251,-74.07708000000001,-74.14675,00:30:00,0,J,F
Trabajar,07:00:00,4.7304900000000005,4.63314,-74.10042,-74.06619,01:00:00,1,C,A
Volver a casa,17:00:00,4.63314,4.73015,-74.06619,-74.09921999999999,01:00:00,1,A,C
Trabajar,05:55:00,4.7303,4.62673,-74.09959,-74.06732,01:00:00,1,C,A
Volver a casa,17:25:00,4.62673,4.73015,-74.06732,-74.09921999999999,01:01:00,1,A,C
Trabajar,07:42:00,4.73161,4.62961,-74.09871,-74.08068,01:01:00,1,C,A
Volver a casa,10:10:53,4.62961,4.731730000000001,-74.08068,-74.099,01:06:38,1,A,C
Trabajar,07:21:00,4.73148,4.67042,-74.1019,-74.05241,01:00:00,1,C,D
Volver a casa,15:29:00,4.67042,4.731730000000001,-74.05241,-74.099,03:00:00,1,D,C
Estudiar,14:12:00,4.73179,4.60073,-74.09898000000001,-74.07030999999999,01:45:00,1,C,J
Volver a casa,18:37:31,4.60073,4.73179,-74.07030999999999,-74.09898000000001,00:55:20,1,J,C
Trabajar,07:21:00,4.73121,4.67015,-74.09921999999999,-74.05524,01:00:00,1,C,D
Volver a casa,15:29:00,4.67015,4.73121,-74.05524,-74.09921999999999,03:00:00,1,D,C
