Código de la Troncal de Transmilenio,coord_x,coord_y
F,-74.12531618099999,4.622236462151799
K,-74.09498531949998,4.643661790152493
C,-74.079477164,4.710571743654652
D,-74.08545939300001,4.6864938251538835
B,-74.05279437800002,4.713527706654752
E,-74.078406893,4.642566825152456
J,-74.073915459,4.602135311651131
G,-74.13286918450001,4.599889825151072
H,-74.103171672,4.568385997150035
H,-74.13190065200001,4.5689714151500365
A,-74.07032598450002,4.634532997152187
G,-74.18737916950002,4.591169089150769
L,-74.08523887799998,4.589609129150713
